coin,n_trades,total_pnl,win_rate,total_volume
HYPE,32011,1948484.5998,0.8816,70895815.8
@107,17166,2783912.919,0.817,27495103.21
BTC,11009,868044.7326,0.8306,321027429.81
ETH,5228,1319978.8389,0.7682,58869131.43
SOL,5030,1639555.9275,0.8388,62158478.13
MELANIA,2211,390351.0699,0.8892,3571759.38
FARTCOIN,2164,-100687.2132,0.7056,3460824.59
PURR/USDC,1187,75261.058,0.8332,670359.0
kBONK,1165,35551.2453,0.5279,1533112.69
kPEPE,1033,18676.9973,0.4773,1197444.26
TRUMP,959,-364824.9082,0.6997,3895933.71
WLD,940,22281.9202,0.7564,1352094.01
JELLY,911,35193.7162,0.8814,1053565.33
SUI,893,199268.8349,0.9395,3985028.33
XRP,874,3756.9015,0.6545,2696464.32
PURR,863,26766.3552,0.9455,517773.47
ZRO,794,183777.7837,0.573,888371.74
ONDO,720,24570.8249,0.9847,866564.33
TAO,665,16817.9405,0.8932,890177.48
POPCAT,654,-7922.1819,0.2599,407826.22
ZEREBRO,640,21166.9253,0.9672,656612.38
FTT,636,6909.3638,0.8412,186694.25
BERA,609,73689.7466,0.8933,1190684.75
PENDLE,594,7712.6097,0.8889,313425.14
PENGU,497,5217.3413,0.7666,505518.69
AIXBT,494,73712.1689,0.9636,668534.72
PAXG,485,-18688.8743,0.4268,1533012.52
PNUT,463,14844.9644,0.9914,486326.66
DOGE,459,147543.1565,0.8758,1163571.46
USUAL,430,69631.9432,0.7512,448347.98
GRIFFAIN,421,7092.14,0.9525,292907.05
AI16Z,355,8024.3527,0.8225,312892.53
VINE,341,4777.2527,0.9267,324850.14
VIRTUAL,337,19544.4815,0.9288,689682.9
@142,337,7450.3597,0.8071,1057698.79
ENA,332,217329.5036,0.9337,613584.24
TNSR,312,5106.2648,0.891,205383.02
JUP,306,42909.2233,0.9641,764523.3
@151,301,11583.8428,0.9867,550591.13
ADA,287,-28113.462,0.5436,615523.87
IP,267,3043.2881,0.9551,266998.19
ANIME,264,21317.258,0.8144,301642.88
@4,262,-95.964,0.3397,32305.15
OGN,257,1752.6684,1.0,28247.47
APE,241,9731.4099,0.9585,324030.32
MAVIA,235,8257.3,1.0,184511.13
ZETA,230,4622.6015,0.987,157247.53
AAVE,229,7485.008,0.8253,552104.93
ME,223,16011.8999,0.7668,152863.62
RUNE,218,6244.3891,0.844,333158.02
W,206,1593.7575,0.9903,152587.82
NEAR,201,13957.536,1.0,406241.79
WIF,189,8984.6008,0.9312,291146.82
ALT,181,5870.7025,0.895,230209.11
KAITO,173,-8735.141,0.6012,413043.48
LINK,171,4601.0984,0.883,222352.22
SEI,170,9957.7775,0.8647,603023.71
BIO,159,1298.5123,0.8239,75644.1
TIA,158,13021.4983,0.8291,379567.47
RNDR,146,13566.3226,1.0,334375.83
CHILLGUY,135,4727.7946,0.8889,135073.28
IO,130,-21893.9105,0.4462,137437.73
RENDER,126,6100.2583,0.9762,115977.1
GRASS,125,1253.273,0.872,78317.14
ETHFI,124,43929.0061,1.0,362893.22
TST,121,3357.9944,0.7603,286704.77
HBAR,118,1909.5081,0.8983,37019.51
S,116,-8644.8457,0.319,119245.98
PROMPT,115,2377.9762,0.6174,116551.54
LTC,112,5626.1435,1.0,170963.44
BRETT,107,958.2874,0.7664,72918.38
AVAX,105,48297.3138,0.9619,154560.09
INJ,104,5919.7784,0.9712,175056.87
@153,101,35.2171,1.0,117912.91
