segment,sentiment,avg_mean_pnl,avg_win_rate,total_trades
Top 20%,Extreme Fear,536.1131,0.851,5793
Top 20%,Fear,217.9792,0.8228,18091
Top 20%,Neutral,210.9759,0.913,10032
Top 20%,Greed,575.2441,0.7012,9340
Top 20%,Extreme Greed,348.3566,0.6766,5755
Middle 60%,Extreme Fear,279.7974,0.7742,1781
Middle 60%,Fear,161.9951,0.8121,7520
Middle 60%,Neutral,658.6802,0.7534,7189
Middle 60%,Greed,529.9964,0.9099,14084
Middle 60%,Extreme Greed,628.9554,0.8887,14915
Bottom 20%,Extreme Fear,-20.4781,0.6726,2832
Bottom 20%,Fear,72.9934,0.8807,4197
Bottom 20%,Neutral,67.0471,0.6857,938
Bottom 20%,Greed,-18.1331,0.8352,1752
Bottom 20%,Extreme Greed,300.0104,0.8304,183
