account,trade_date,n_trades,total_pnl,avg_pnl,total_volume,total_fees,win_rate,sentiment,sentiment_value,pnl_per_trade
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,177,,,900880.13,167.7961,,Extreme Greed,76.0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,68,,,542413.18,67.8836,,Extreme Greed,90.0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,40,,,949380.0,94.938,,Extreme Greed,83.0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,12,-21227.0,-1768.9167,338240.0,33.824,0.0,Extreme Greed,94.0,-1768.9167
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,27,1603.1,133.5917,465700.0,104.6225,1.0,Extreme Greed,79.0,59.3741
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,82,-132271.0,-1613.061,1316799.98,131.68,0.0,Extreme Greed,77.0,-1613.061
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,23,,,1116918.77,390.9216,,Extreme Greed,84.0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,33,-175611.0001,-5321.5455,1212299.96,121.23,0.0,Greed,72.0,-5321.5455
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,465,71393.9641,637.4461,5306093.62,780.3364,0.2054,Extreme Greed,77.0,153.5354
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,51,40218.6,1436.3786,479429.99,23.9715,1.0,Extreme Greed,76.0,788.6
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,10,76710.0,8523.3333,1858470.0,92.9235,1.0,Greed,60.0,7671.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,839,101011.6857,272.2687,19794543.66,2355.0383,0.69,Fear,44.0,120.3953
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,531,375620.2702,3383.9664,5616220.88,704.1994,0.7477,Greed,72.0,707.3828
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,210,44400.9058,569.2424,5582863.31,700.1016,1.0,Neutral,54.0,211.4329
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,141,30897.0887,234.0689,1432708.93,0.0,1.0,Neutral,46.0,219.1283
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,48,55086.0,3442.875,1537560.0,0.0,1.0,Fear,43.0,1147.625
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,6,,,807600.01,0.0,,Neutral,47.0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,59,10152.1222,327.4878,1603504.46,561.2265,1.0,Neutral,49.0,172.0699
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,219,115445.3955,1241.3483,2898197.14,555.8888,1.0,Fear,25.0,527.1479
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,55,115287.0,115287.0,1372739.97,137.274,1.0,Extreme Fear,16.0,2096.1273
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,45,9482.2214,263.395,134360.89,6.718,1.0,Extreme Fear,20.0,210.716
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,641,533974.6629,988.842,5365898.24,268.2946,1.0,Fear,33.0,833.0338
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,5,40200.0,10050.0,398200.0,39.82,1.0,Neutral,45.0,8040.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,31,307855.8034,9930.8324,666240.85,66.6241,1.0,Fear,43.0,9930.8324
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,55,11715.9432,254.6944,135847.3,34.6808,1.0,Extreme Greed,84.0,213.0171
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,1,,,0.06,0.0,,Extreme Greed,81.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,34,,,48513.58,1.3167,,Greed,72.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,26,3515.0311,140.6012,52028.63,5.2028,1.0,Extreme Greed,75.0,135.1935
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,46,,,52066.88,1.4383,,Extreme Greed,78.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,64,2517.7874,39.9649,54584.72,19.1046,1.0,Extreme Greed,78.0,39.3404
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,59,1613.1659,107.5444,112897.91,20.8146,1.0,Extreme Greed,81.0,27.3418
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,1,,,0.11,0.0,,Extreme Greed,75.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,34,1245.5185,59.3104,341740.78,119.6093,1.0,Greed,74.0,36.6329
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,13,,,36997.54,61.5103,,Greed,61.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,17,4493.2325,264.3078,41490.68,14.5217,1.0,Extreme Greed,75.0,264.3078
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,39,1047.031,37.394,84021.27,89.1445,1.0,Extreme Greed,77.0,26.8469
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,124,4842.0543,60.5257,272092.55,124.9617,1.0,Extreme Greed,77.0,39.0488
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,339,1693.4932,8.553,588968.28,108.0574,1.0,Extreme Greed,75.0,4.9956
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,54,4221.1564,1055.2891,129509.91,24.2556,1.0,Extreme Greed,75.0,78.1696
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,44,,,66856.49,1.0593,,Greed,71.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,56,6899.2458,123.2008,73755.74,25.8145,1.0,Greed,72.0,123.2008
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,46,,,73735.48,1.1682,,Greed,72.0,
