account,sentiment,trades,total_pnl,mean_pnl,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,37,124769.2214,3372.1411,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1051,1113373.5475,1059.3469,0.8906
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,245,125650.1167,512.8576,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,153,276719.2702,1808.6227,0.6013
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,246,-40282.3359,-163.7493,0.2561
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,62,-4235.1531,-68.3089,0.8226
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,1572,-1658.7368,-1.0552,0.7977
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,394,-11933.0801,-30.287,0.6599
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,1662,30053.3956,18.0827,0.7112
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,476,35658.8949,74.9136,1.0
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,306,16706.8849,54.5977,0.9804
0x271b280974205ca63b716753467d5a371de622ab,Fear,756,30121.9105,39.8438,0.9444
0x271b280974205ca63b716753467d5a371de622ab,Neutral,235,-19038.3406,-81.0142,0.0
0x271b280974205ca63b716753467d5a371de622ab,Greed,306,-100019.8064,-326.8621,0.4314
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,4,1793.1602,448.2901,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,278,-25666.0123,-92.3238,0.5935
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,673,13422.5249,19.9443,0.8945
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,442,5505.7494,12.4564,0.9367
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,1440,31192.592,21.6615,0.925
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,3939,108009.9606,27.4207,0.8441
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,77,11415.2478,148.25,1.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,267,3979.1908,14.9033,0.618
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,678,42292.8431,62.3788,0.8614
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,167,20075.6729,120.2136,0.8204
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,871,90895.0504,104.3571,0.8278
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,187,-56967.8258,-304.6408,0.1551
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,193,-467.0589,-2.42,0.9016
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,31,-1228.9071,-39.6422,0.6452
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,81,-3531.99,-43.6048,0.9136
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,78,30992.1818,397.3357,0.9487
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,1057,-76179.4949,-72.0714,0.4768
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,504,54685.0211,108.502,0.9405
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,113,10953.248,96.9314,1.0
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,29,10591.7603,365.2331,0.9655
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,64,14406.3849,225.0998,0.8906
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,19,110.5534,5.8186,1.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,49,4256.5593,86.8686,1.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,1,8019.1631,8019.1631,1.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,13,4239.8164,326.1397,1.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,76,36870.1551,485.1336,1.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,3,9461.0823,3153.6941,1.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,35,99648.2783,2847.0937,1.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,25,74293.6635,2971.7465,1.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,2,12082.95,6041.475,1.0
